period,soi,rec
158,0.596,73.58
159,0.005,66.06
160,0.388,59.46
161,-0.5080001,59.49
162,-0.552,51.9
163,-0.858,35.21
164,-0.596,39.65
165,0.06,31.9
166,0.071,61.56
167,0.224,88.25
168,0.279,96.46
169,0.322,83.94
170,0.18,89.05
171,0.126,92.97
172,0.082,98.29
173,0.126,99.79
174,-0.213,94.01
175,-0.235,87.06
176,0.169,80.46
177,0.388,74.86
178,0.519,67.18
179,0.126,73.85
180,0.41,80.15
181,0.738,69.45
182,0.443,50.39
183,0.596,31.68
184,-0.137,31.25
185,-0.486,23.11
186,-0.377,11.32
187,0.268,8.96
188,-0.169,6.03
189,-0.213,11.7
190,-0.191,34.63
191,0.377,58.31
192,0.126,58.66
193,0.311,72.62
194,0.388,85.76
195,0.388,94.29
196,0.18,92.76999
197,-0.333,93.18
198,0.049,89.32
199,-0.082,81.63
200,0.191,71.44
201,0.399,66.42
202,0.093,80.02
203,0.005,76.52
204,0.366,77.51
205,0.333,67.73001
206,0.377,50.52
207,0.071,48.97
208,-0.158,50.64
209,-0.541,38.73
210,-0.683,30.79
211,-0.683,23.75
212,-0.344,26.28
213,-0.301,36.67
214,0.202,68.91001
215,-0.126,97.39
216,0.082,96.1
217,0.115,90.3
218,0.464,84.92
219,0.104,91.41001
220,-0.18,92.54
221,-0.672,98.04
222,0.104,99.96
223,-0.486,88.83
224,0.093,83.07
225,0.279,86.32
226,0.104,99.83
227,0.18,96.62
228,0.475,99.94
229,0.53,96.89
230,0.661,85.12
231,0.355,77.97
232,-0.344,67.38
233,-0.038,44.5
234,0.235,26.72
235,0.486,13.25
236,0.169,10.64
237,0.333,23.83
238,0.137,29.18
239,0.169,26.91
240,0.333,20.09
241,0.705,22.33
242,0.377,22.07
243,0.585,26.2
244,-0.126,29.81
245,-0.213,30.1
246,0.148,24.25
247,-0.126,25.3
248,-0.344,23.5
249,-0.5080001,35.62
250,0.279,52.11
251,0.082,56.79
252,0.355,69.09
253,0.082,86.64
254,0.574,99.28
255,0.355,98.48001
256,-0.257,98.45
257,-0.377,94.76999
258,-0.344,93.58
259,-0.65,78.07
260,-0.093,66.88
261,-0.137,77.04
262,0.115,88.72
263,0.705,94.88
264,0.399,99.67
265,0.366,100
266,0.366,99.9
267,0.038,96.91001
268,-0.268,66.88
269,0.322,52.39
270,0.082,40.61
271,0.082,30.65
272,0.06,32.04
273,0.268,45.28
274,0.421,35
275,0.77,35.62
276,0.803,36.98
277,0.661,39.89
278,0.716,36.88
279,0.628,30.85
280,0.191,19.33
281,0.53,13.26
282,0.18,11.12
283,-0.464,9.140001
284,0.279,8.21
285,0.355,10.76
286,0.202,10.43
287,0.552,13.75
288,0.617,37.91
289,0.104,41.85
290,0.224,44.67
291,0.432,50.57
292,-0.213,50.34
293,-0.967,49.54
294,-1,56.93
295,-0.432,60.16
296,-0.683,57.47
297,-0.5080001,71.68
298,-0.137,97.28
299,0.082,62.09
300,-0.06,59.97
301,0.333,51.18
302,0.355,51.48
303,0.388,66.08
304,-0.06,86.39
305,-0.202,93.58
306,0.005,99.9
307,-0.115,93.86
308,0.137,82.82
309,0.454,84.83999
310,0.388,89.51
311,0.738,86.89
312,0.77,87.15
313,0.803,78.47
314,0.836,55.93
315,0.65,41.27
316,0.005,19.66
317,-0.366,9.439999
318,0.071,4.66
319,-0.005,2.36
320,-0.454,1.72
321,0.191,3.32
322,0.432,12.13
323,0.683,16.81
324,0.388,24.3
325,0.235,52.42
326,-0.093,58.05
327,0.475,59.42
328,-0.082,57.52
329,-0.617,60.13
330,-0.093,64.68
331,-0.071,74.94
332,0.432,69.73001
333,0.421,77.11
334,0.497,97.93
335,0.454,98.74
336,0.596,98.88
337,0.552,90.41001
338,0.607,77.86
339,0.464,61.48
340,-0.301,47.66
341,-0.77,30.74
342,-0.65,20.11
343,-0.694,12.08
344,-0.137,8.97
345,-0.464,20.03
346,-0.246,71.54
347,0.169,97.51999
348,-0.202,95.14
349,0.082,92.22
350,0.607,80.09
351,-0.158,74.59
352,-0.454,83.66001
353,-0.781,87.36
354,-0.388,96.63
355,0.18,93.36
356,0.06,94.7
357,-0.5080001,99.66001
358,-0.268,91.6
359,0.224,89.98001
360,0.115,99.39
361,0.399,99.46
362,0.027,99.37
363,0.016,99.51999
364,-0.377,96.64
365,-0.18,89.55
366,-0.038,68.67
367,-0.202,65.02
368,0.137,61.82
369,0.093,76.92
370,-0.279,80.17
371,-0.038,77.48001
372,0.235,82.34
373,0.169,74.11
374,0.399,69.03
375,0.158,79.48001
376,-0.541,78.76
377,-0.628,67.55
378,0.027,59.98
379,-0.738,44.35
380,-0.913,41.18
381,-0.027,71.53
382,0.071,95.51999
383,-0.126,93.48001
384,0.049,98.18
385,0.454,70.48001
386,0.301,77.63
387,-0.005,88.11
388,-0.093,93.15
389,-0.224,99.01
390,-0.213,93.31
391,-0.311,81.21
392,-0.235,79.63
393,-0.322,80.67
394,0.322,85.63
395,0.093,88.66001
396,0.115,93.65
397,0.77,95.49
398,0.607,98.26999
399,-0.158,86.19
400,-0.235,79.69
401,-0.202,72.26
402,-0.333,35.06
403,-0.158,20.98
404,-0.224,29.67
405,-0.355,42.09
406,0.005,52.96
407,0.454,69.45
408,0.41,76.86
409,0.519,86.19
410,0.541,96
411,0.301,96.07
412,-0.574,86.85
413,-0.344,76.66001
414,-0.279,61.47
415,-0.716,46.26
416,-0.869,40.15
417,-0.596,72.59
418,-0.29,85.17
419,-0.454,91.74
420,-0.246,99.22
421,-0.607,76.55
422,-0.563,64.17
423,-0.235,69.2
424,-0.246,70.37
425,-0.399,79.55
426,-0.333,74.79
427,-0.53,70.9
428,-0.049,78.86
429,0.158,84.28
430,0.115,83.43
431,0.322,85.55
432,0.115,80.17
433,0.049,90.82
434,0.454,99.39
435,0.158,99.18
436,-0.421,89.1
437,-0.268,82.18
438,-0.311,77.64
439,-0.115,55.93
440,-0.322,49.73
441,-0.322,70.12
442,0.126,79.2
443,0.333,87.83
444,0.519,88.2
445,0.399,94.83
446,0.519,98.66001
447,0.432,94.83999
448,0.355,83.06
449,-0.126,61.42
450,-0.5080001,47.47
451,-0.388,31.81
452,0.388,22.95
453,0.071,17.87
